NoInt,Nosub,VPCode,LVSubj,Group,Age,Gen,Droput_b4recog,VPAnm,Time,NRec,Doppelt,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,NRec,Doppelt,number of correct recall,number of False recall,Present Recall,Past Recall,Other Recall,Positive Present Recall,Positive Past Recall,Positive Other Recall,Neg Present Recall,Neg Past Recall,Neg Other Recall,Neutral Present Recall,Neutral Past Recall,Neutral Other Recall
53,229,Teen1461,78542,4,24,f,1,,128193,6,0,emotional,talentiert,opportunistisch,warmherzig,verletzt,unkonventionell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,1,1,4,0,0,2,0,1,0,1,0,2
54,187,SCUS0767,77555,1,20,f,1,,148002,18,0,kurz,schuechtern,haesslich,beschaulich,optimistisch,entstellt,durchschnittlich,unvorhersehbar,selbstsicher,unsympathisch,wertlos,klug,gut,umgaenglich,talentiert,klein,still ,ruhig,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0,14,4,2,4,8,1,0,2,0,1,3,1,3,3
55,188,Okef0266,77557,6,21,m,1,,100536,6,0,gluecklich,ungluecklich,opportunistisch,heftig,geliebt,warmherzig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,5,0,1,2,0,1,1,0,0,2,0,0
56,321,VONG1359,79170,3,30,f,1,,177474,14,0,zaertlich,dumm,kurz,klein,haesslich,zahm,unvorhersehbar,schuechtern,behindert,introvertiert,still,sympathisch,loyal,ehrlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,13,1,6,3,4,1,1,1,1,1,1,4,1,2
57,384,ROER2257,79581,4,27,f,1,,6977,1,0,enthusiastisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
58,1,THZU7812,76525,1,2,f,1,,85626,7,0,klug,bedacht,still,kurz,klein,deformiert,haesslich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,2,2,3,0,0,1,1,0,1,1,2,1
59,2,SCFL1460,76535,2,3,f,1,,99283,12,0,zuverlaessig,klug,intellektuell,klein,winzig,fortschrittlich,optimistisch,pessimistisch,krank,ungesund,deformiert,haesslich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,12,0,3,6,3,1,4,0,1,2,2,1,0,1
60,322,Chen2260,79190,1,19,f,1,,164928,10,0,klein,kurz,haesslich,ruhig,klug,unsympathisch,ungesund,optimistisch,unvorhersehbar,fortschrittlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,10,0,0,2,8,0,0,3,0,0,3,0,2,2
61,5,1235677,76549,6,29,f,1,,175297,10,0,emotional,fromm,froehlich,veraergert,unbeirrbar,gewalttaetig,unkonventionell,leidenschaftlich,couragiert,talentiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,7,3,4,2,1,2,0,1,0,0,0,2,2,0
62,323,IRCH1455,79195,6,25,m,1,,177200,14,0,herzlos,aengstlich,heftig,talentiert,impulsiv,liebevoll,freundlich,wuetend,egoistisch,sympathisch,stolz,bereitwillig,unbeirrt,hasserfuellt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,11,3,4,1,6,1,0,1,2,1,2,1,0,3
63,386,Scer2860,79594,6,25,f,1,,23303,3,0,schoen,stark,mutig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
64,10,BÖOR1157,76571,4,25,m,1,,157538,6,0,heftig,liebevoll,warmherzig,leidenschaftlich,emotional,impulsiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,5,1,1,1,3,0,0,2,0,0,0,1,1,1
65,13,hard1459,76591,1,26,f,1,,73047,8,0,zahm,mutig,klein,kurz,schuechtern,klug,introvertiert,gut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,8,0,2,2,4,1,1,1,0,0,0,1,1,3
66,14,IRUS1457,76592,5,27,f,1,,13651,1,0,warmherzig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
67,15,Dief1963,76594,3,25,m,0,,leer,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,17,Wael2463,76597,6,27,f,1,,10721,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,104,HKNN2238,77068,5,52,f,1,,213955,12,2,unbeirrbar,opportunistisch,leidenschaftlich,fromm,religioes,leidenschaftlich,lieblos,beliebt,gluecklich,enthusiastisch,verehrt,unbeirrbar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,9,1,1,6,2,1,2,1,0,1,0,0,3,1
70,103,SÄLF0558,77062,3,34,m,1,,34486,7,0,klug,klein,introvertiert,still,optimistisch,pessimistisch,fortschrittlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,3,2,2,3,0,0,0,1,0,0,1,2
71,129,FRIN0167,77382,1,20,f,1,,292938,22,0,zaertlich,kurz,mutig,still,schuechtern,klug,intellektuell,winzig,klein,zahm,loyal,optimistisch,pessimistisch,durchschnittlich,unueblich,bedacht,behindert,haesslich,entstellt,gemuetlich,hoffnungsvoll,zuverlaessig,,,,,,,,,,,,,,,,,,,,,,,,22,0,22,0,5,9,8,0,5,4,2,1,1,3,3,3
72,130,güin1766,77383,3,26,f,1,,85341,9,0,kurz,simpel,winzig,unvorhersehbar,kreativ,theatralisch,intellektuell,klug,dumm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,8,1,4,2,2,1,0,1,0,0,1,3,2,0
73,131,Huel0260,77385,2,22,m,1,,107599,8,0,kurz,winzig,schuechtern,klug,dumm,unfreundlich,intellektuell,loyal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,8,0,4,3,1,2,1,0,2,0,0,0,2,1
74,133,kuas2565,77389,3,27,f,1,,180390,9,0,still,schuechtern,loyal,klug,fortschrittlich,ungesund,ruhig,klein,sympathisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,8,1,4,0,4,2,0,1,1,0,0,1,0,3
75,132,BERD1260,77387,5,26,f,1,,21344,5,0,liebevoll,wuetend,herzlos,unbeirrbar,stolz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,4,1,1,3,0,0,0,0,0,2,0,1,1,0
